"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","AGRWTH","A","1997",0.2248875,
"AUS","CPI","TOT","AGRWTH","A","1998",0.8601346,
"AUS","CPI","TOT","AGRWTH","A","1999",1.483129,
"AUS","CPI","TOT","AGRWTH","A","2000",4.457435,
"AUS","CPI","TOT","AGRWTH","A","2001",4.407135,
"AUS","CPI","TOT","AGRWTH","A","2002",2.981575,
"AUS","CPI","TOT","AGRWTH","A","2003",2.732596,
"AUS","CPI","TOT","AGRWTH","A","2004",2.343255,
"AUS","CPI","TOT","AGRWTH","A","2005",2.691832,
"AUS","CPI","TOT","AGRWTH","A","2006",3.555288,
"AUS","CPI","TOT","AGRWTH","A","2007",2.327611,
"AUS","CPI","TOT","AGRWTH","A","2008",4.350298,
"AUS","CPI","TOT","AGRWTH","A","2009",1.771117,
"AUS","CPI","TOT","AGRWTH","A","2010",2.91834,
"AUS","CPI","TOT","AGRWTH","A","2011",3.30385,
"AUS","CPI","TOT","AGRWTH","A","2012",1.76278,
"AUS","CPI","TOT","AGRWTH","A","2013",2.449889,
"AUS","CPI","TOT","AGRWTH","A","2014",2.487923,
"AUS","CPI","TOT","AGRWTH","A","2015",1.508367,
"AUS","CPI","TOT","AGRWTH","A","2016",1.276991,
"AUS","CPI","TOT","AGRWTH","A","2017",1.948647,
"AUS","CPI","TOT","AGRWTH","A","2018",1.911401,
"AUS","CPI","TOT","AGRWTH","A","2019",1.610768,
"AUS","CPI","TOT","AGRWTH","A","2020",0.8469055,
"AUS","CPI","TOT","AGRWTH","A","2021",2.86391,
"AUS","CPI","TOT","AGRWTH","A","2022",6.594097,
"AUT","CPI","TOT","AGRWTH","A","1997",1.305983,
"AUT","CPI","TOT","AGRWTH","A","1998",0.9224669,
"AUT","CPI","TOT","AGRWTH","A","1999",0.5689865,
"AUT","CPI","TOT","AGRWTH","A","2000",2.344868,
"AUT","CPI","TOT","AGRWTH","A","2001",2.65,
"AUT","CPI","TOT","AGRWTH","A","2002",1.810359,
"AUT","CPI","TOT","AGRWTH","A","2003",1.355554,
"AUT","CPI","TOT","AGRWTH","A","2004",2.061207,
"AUT","CPI","TOT","AGRWTH","A","2005",2.299138,
"AUT","CPI","TOT","AGRWTH","A","2006",1.441547,
"AUT","CPI","TOT","AGRWTH","A","2007",2.168556,
"AUT","CPI","TOT","AGRWTH","A","2008",3.215951,
"AUT","CPI","TOT","AGRWTH","A","2009",0.5063094,
"AUT","CPI","TOT","AGRWTH","A","2010",1.813532,
"AUT","CPI","TOT","AGRWTH","A","2011",3.286583,
"AUT","CPI","TOT","AGRWTH","A","2012",2.485675,
"AUT","CPI","TOT","AGRWTH","A","2013",2.000158,
"AUT","CPI","TOT","AGRWTH","A","2014",1.605806,
"AUT","CPI","TOT","AGRWTH","A","2015",0.8965653,
"AUT","CPI","TOT","AGRWTH","A","2016",0.8915924,
"AUT","CPI","TOT","AGRWTH","A","2017",2.081269,
"AUT","CPI","TOT","AGRWTH","A","2018",1.998382,
"AUT","CPI","TOT","AGRWTH","A","2019",1.530896,
"AUT","CPI","TOT","AGRWTH","A","2020",1.381909,
"AUT","CPI","TOT","AGRWTH","A","2021",2.766667,
"AUT","CPI","TOT","AGRWTH","A","2022",8.54687,
"BEL","CPI","TOT","AGRWTH","A","1997",1.62816,
"BEL","CPI","TOT","AGRWTH","A","1998",0.9492503,
"BEL","CPI","TOT","AGRWTH","A","1999",1.120848,
"BEL","CPI","TOT","AGRWTH","A","2000",2.544518,
"BEL","CPI","TOT","AGRWTH","A","2001",2.469258,
"BEL","CPI","TOT","AGRWTH","A","2002",1.645214,
"BEL","CPI","TOT","AGRWTH","A","2003",1.588964,
"BEL","CPI","TOT","AGRWTH","A","2004",2.097283,
"BEL","CPI","TOT","AGRWTH","A","2005",2.781433,
"BEL","CPI","TOT","AGRWTH","A","2006",1.791208,
"BEL","CPI","TOT","AGRWTH","A","2007",1.823056,
"BEL","CPI","TOT","AGRWTH","A","2008",4.489444,
"BEL","CPI","TOT","AGRWTH","A","2009",-0.05314567,
"BEL","CPI","TOT","AGRWTH","A","2010",2.189299,
"BEL","CPI","TOT","AGRWTH","A","2011",3.532082,
"BEL","CPI","TOT","AGRWTH","A","2012",2.839664,
"BEL","CPI","TOT","AGRWTH","A","2013",1.113096,
"BEL","CPI","TOT","AGRWTH","A","2014",0.3400028,
"BEL","CPI","TOT","AGRWTH","A","2015",0.5614291,
"BEL","CPI","TOT","AGRWTH","A","2016",1.973853,
"BEL","CPI","TOT","AGRWTH","A","2017",2.125971,
"BEL","CPI","TOT","AGRWTH","A","2018",2.053165,
"BEL","CPI","TOT","AGRWTH","A","2019",1.43682,
"BEL","CPI","TOT","AGRWTH","A","2020",0.7407918,
"BEL","CPI","TOT","AGRWTH","A","2021",2.440248,
"BEL","CPI","TOT","AGRWTH","A","2022",9.597511,
"CAN","CPI","TOT","AGRWTH","A","1997",1.621216,
"CAN","CPI","TOT","AGRWTH","A","1998",0.9959425,
"CAN","CPI","TOT","AGRWTH","A","1999",1.734843,
"CAN","CPI","TOT","AGRWTH","A","2000",2.71944,
"CAN","CPI","TOT","AGRWTH","A","2001",2.52512,
"CAN","CPI","TOT","AGRWTH","A","2002",2.258394,
"CAN","CPI","TOT","AGRWTH","A","2003",2.758563,
"CAN","CPI","TOT","AGRWTH","A","2004",1.857259,
"CAN","CPI","TOT","AGRWTH","A","2005",2.213552,
"CAN","CPI","TOT","AGRWTH","A","2006",2.002025,
"CAN","CPI","TOT","AGRWTH","A","2007",2.138384,
"CAN","CPI","TOT","AGRWTH","A","2008",2.370271,
"CAN","CPI","TOT","AGRWTH","A","2009",0.2994668,
"CAN","CPI","TOT","AGRWTH","A","2010",1.776872,
"CAN","CPI","TOT","AGRWTH","A","2011",2.912135,
"CAN","CPI","TOT","AGRWTH","A","2012",1.515678,
"CAN","CPI","TOT","AGRWTH","A","2013",0.9382919,
"CAN","CPI","TOT","AGRWTH","A","2014",1.906636,
"CAN","CPI","TOT","AGRWTH","A","2015",1.125241,
"CAN","CPI","TOT","AGRWTH","A","2016",1.42876,
"CAN","CPI","TOT","AGRWTH","A","2017",1.596884,
"CAN","CPI","TOT","AGRWTH","A","2018",2.268226,
"CAN","CPI","TOT","AGRWTH","A","2019",1.949269,
"CAN","CPI","TOT","AGRWTH","A","2020",0.7169997,
"CAN","CPI","TOT","AGRWTH","A","2021",3.395193,
"CAN","CPI","TOT","AGRWTH","A","2022",6.802801,
"CZE","CPI","TOT","AGRWTH","A","1997",8.596157,
"CZE","CPI","TOT","AGRWTH","A","1998",10.69837,
"CZE","CPI","TOT","AGRWTH","A","1999",2.135448,
"CZE","CPI","TOT","AGRWTH","A","2000",3.775388,
"CZE","CPI","TOT","AGRWTH","A","2001",4.662675,
"CZE","CPI","TOT","AGRWTH","A","2002",1.902981,
"CZE","CPI","TOT","AGRWTH","A","2003",0.1187392,
"CZE","CPI","TOT","AGRWTH","A","2004",2.760108,
"CZE","CPI","TOT","AGRWTH","A","2005",1.857098,
"CZE","CPI","TOT","AGRWTH","A","2006",2.533993,
