"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POVERTY","TOT","RT","A","2012",0.14,
"AUS","POVERTY","TOT","RT","A","2014",0.128,
"AUS","POVERTY","TOT","RT","A","2016",0.121,
"AUS","POVERTY","TOT","RT","A","2018",0.124,
"AUS","POVERTY","TOT","RT","A","2020",0.126,
"AUT","POVERTY","TOT","RT","A","2007",0.097,
"AUT","POVERTY","TOT","RT","A","2008",0.093,
"AUT","POVERTY","TOT","RT","A","2009",0.096,
"AUT","POVERTY","TOT","RT","A","2010",0.089,
"AUT","POVERTY","TOT","RT","A","2011",0.091,
"AUT","POVERTY","TOT","RT","A","2012",0.096,
"AUT","POVERTY","TOT","RT","A","2013",0.09,
"AUT","POVERTY","TOT","RT","A","2014",0.091,
"AUT","POVERTY","TOT","RT","A","2015",0.087,
"AUT","POVERTY","TOT","RT","A","2016",0.098,
"AUT","POVERTY","TOT","RT","A","2017",0.094,
"AUT","POVERTY","TOT","RT","A","2018",0.094,
"AUT","POVERTY","TOT","RT","A","2019",0.1,
"BEL","POVERTY","TOT","RT","A","2018",0.082,
"BEL","POVERTY","TOT","RT","A","2019",0.081,
"CAN","POVERTY","TOT","RT","A","1976",0.131,
"CAN","POVERTY","TOT","RT","A","1977",0.139,
"CAN","POVERTY","TOT","RT","A","1978",0.132,
"CAN","POVERTY","TOT","RT","A","1979",0.133,
"CAN","POVERTY","TOT","RT","A","1980",0.131,
"CAN","POVERTY","TOT","RT","A","1981",0.123,
"CAN","POVERTY","TOT","RT","A","1982",0.125,
"CAN","POVERTY","TOT","RT","A","1983",0.132,
"CAN","POVERTY","TOT","RT","A","1984",0.133,
"CAN","POVERTY","TOT","RT","A","1985",0.124,
"CAN","POVERTY","TOT","RT","A","1986",0.119,
"CAN","POVERTY","TOT","RT","A","1987",0.12,
"CAN","POVERTY","TOT","RT","A","1988",0.114,
"CAN","POVERTY","TOT","RT","A","1989",0.109,
"CAN","POVERTY","TOT","RT","A","1990",0.119,
"CAN","POVERTY","TOT","RT","A","1991",0.118,
"CAN","POVERTY","TOT","RT","A","1992",0.121,
"CAN","POVERTY","TOT","RT","A","1993",0.119,
"CAN","POVERTY","TOT","RT","A","1994",0.117,
"CAN","POVERTY","TOT","RT","A","1995",0.118,
"CAN","POVERTY","TOT","RT","A","1996",0.124,
"CAN","POVERTY","TOT","RT","A","1997",0.125,
"CAN","POVERTY","TOT","RT","A","1998",0.124,
"CAN","POVERTY","TOT","RT","A","1999",0.117,
"CAN","POVERTY","TOT","RT","A","2000",0.12,
"CAN","POVERTY","TOT","RT","A","2001",0.117,
"CAN","POVERTY","TOT","RT","A","2002",0.123,
"CAN","POVERTY","TOT","RT","A","2003",0.124,
"CAN","POVERTY","TOT","RT","A","2004",0.129,
"CAN","POVERTY","TOT","RT","A","2005",0.123,
"CAN","POVERTY","TOT","RT","A","2006",0.129,
"CAN","POVERTY","TOT","RT","A","2007",0.129,
"CAN","POVERTY","TOT","RT","A","2008",0.127,
"CAN","POVERTY","TOT","RT","A","2009",0.134,
"CAN","POVERTY","TOT","RT","A","2010",0.131,
"CAN","POVERTY","TOT","RT","A","2011",0.131,
"CAN","POVERTY","TOT","RT","A","2012",0.133,
"CAN","POVERTY","TOT","RT","A","2013",0.132,
"CAN","POVERTY","TOT","RT","A","2014",0.126,
"CAN","POVERTY","TOT","RT","A","2015",0.141,
"CAN","POVERTY","TOT","RT","A","2016",0.124,
"CAN","POVERTY","TOT","RT","A","2017",0.12,
"CAN","POVERTY","TOT","RT","A","2018",0.118,
"CAN","POVERTY","TOT","RT","A","2019",0.115,
"CAN","POVERTY","TOT","RT","A","2020",0.086,
"CZE","POVERTY","TOT","RT","A","2004",0.058,
"CZE","POVERTY","TOT","RT","A","2005",0.055,
"CZE","POVERTY","TOT","RT","A","2006",0.056,
"CZE","POVERTY","TOT","RT","A","2007",0.055,
"CZE","POVERTY","TOT","RT","A","2008",0.059,
"CZE","POVERTY","TOT","RT","A","2009",0.06,
"CZE","POVERTY","TOT","RT","A","2010",0.065,
"CZE","POVERTY","TOT","RT","A","2011",0.059,
"CZE","POVERTY","TOT","RT","A","2012",0.052,
"CZE","POVERTY","TOT","RT","A","2013",0.059,
"CZE","POVERTY","TOT","RT","A","2014",0.059,
"CZE","POVERTY","TOT","RT","A","2015",0.064,
"CZE","POVERTY","TOT","RT","A","2016",0.056,
"CZE","POVERTY","TOT","RT","A","2017",0.056,
"CZE","POVERTY","TOT","RT","A","2018",0.061,
"CZE","POVERTY","TOT","RT","A","2019",0.056,
"DNK","POVERTY","TOT","RT","A","2011",0.058,
"DNK","POVERTY","TOT","RT","A","2012",0.054,
"DNK","POVERTY","TOT","RT","A","2013",0.054,
"DNK","POVERTY","TOT","RT","A","2014",0.055,
"DNK","POVERTY","TOT","RT","A","2015",0.055,
"DNK","POVERTY","TOT","RT","A","2016",0.058,
"DNK","POVERTY","TOT","RT","A","2017",0.061,
"DNK","POVERTY","TOT","RT","A","2018",0.064,
"DNK","POVERTY","TOT","RT","A","2019",0.065,
"FIN","POVERTY","TOT","RT","A","1987",0.052,
"FIN","POVERTY","TOT","RT","A","1988",0.056,
"FIN","POVERTY","TOT","RT","A","1989",0.057,
"FIN","POVERTY","TOT","RT","A","1990",0.056,
"FIN","POVERTY","TOT","RT","A","1991",0.054,
"FIN","POVERTY","TOT","RT","A","1992",0.05,
"FIN","POVERTY","TOT","RT","A","1993",0.042,
"FIN","POVERTY","TOT","RT","A","1994",0.042,
"FIN","POVERTY","TOT","RT","A","1995",0.042,
"FIN","POVERTY","TOT","RT","A","1996",0.046,
"FIN","POVERTY","TOT","RT","A","1997",0.048,
"FIN","POVERTY","TOT","RT","A","1998",0.05,
"FIN","POVERTY","TOT","RT","A","1999",0.052,
"FIN","POVERTY","TOT","RT","A","2000",0.053,
"FIN","POVERTY","TOT","RT","A","2001",0.063,
"FIN","POVERTY","TOT","RT","A","2002",0.062,
"FIN","POVERTY","TOT","RT","A","2003",0.056,
"FIN","POVERTY","TOT","RT","A","2004",0.065,
"FIN","POVERTY","TOT","RT","A","2005",0.066,
"FIN","POVERTY","TOT","RT","A","2006",0.069,
"FIN","POVERTY","TOT","RT","A","2007",0.078,
"FIN","POVERTY","TOT","RT","A","2008",0.079,
"FIN","POVERTY","TOT","RT","A","2009",0.074,
"FIN","POVERTY","TOT","RT","A","2010",0.072,
"FIN","POVERTY","TOT","RT","A","2011",0.075,
"FIN","POVERTY","TOT","RT","A","2012",0.065,
"FIN","POVERTY","TOT","RT","A","2013",0.071,
"FIN","POVERTY","TOT","RT","A","2014",0.068,
"FIN","POVERTY","TOT","RT","A","2015",0.063,
"FIN","POVERTY","TOT","RT","A","2016",0.058,
"FIN","POVERTY","TOT","RT","A","2017",0.063,
"FIN","POVERTY","TOT","RT","A","2018",0.065,
"FIN","POVERTY","TOT","RT","A","2019",0.064,
"FIN","POVERTY","TOT","RT","A","2020",0.057,
"FRA","POVERTY","TOT","RT","A","2012",0.085,
"FRA","POVERTY","TOT","RT","A","2013",0.079,
"FRA","POVERTY","TOT","RT","A","2014",0.081,
"FRA","POVERTY","TOT","RT","A","2015",0.081,
"FRA","POVERTY","TOT","RT","A","2016",0.083,
"FRA","POVERTY","TOT","RT","A","2017",0.081,
"FRA","POVERTY","TOT","RT","A","2018",0.085,
"FRA","POVERTY","TOT","RT","A","2019",0.084,
"DEU","POVERTY","TOT","RT","A","2008",0.09,
"DEU","POVERTY","TOT","RT","A","2011",0.087,
"DEU","POVERTY","TOT","RT","A","2012",0.084,
"DEU","POVERTY","TOT","RT","A","2013",0.091,
"DEU","POVERTY","TOT","RT","A","2014",0.095,
"DEU","POVERTY","TOT","RT","A","2015",0.101,
"DEU","POVERTY","TOT","RT","A","2016",0.104,
"DEU","POVERTY","TOT","RT","A","2017",0.104,
"DEU","POVERTY","TOT","RT","A","2018",0.098,
"DEU","POVERTY","TOT","RT","A","2019",0.109,
"GRC","POVERTY","TOT","RT","A","2004",0.12,
"GRC","POVERTY","TOT","RT","A","2005",0.129,
"GRC","POVERTY","TOT","RT","A","2006",0.127,
"GRC","POVERTY","TOT","RT","A","2007",0.132,
"GRC","POVERTY","TOT","RT","A","2008",0.129,
"GRC","POVERTY","TOT","RT","A","2009",0.129,
"GRC","POVERTY","TOT","RT","A","2010",0.141,
"GRC","POVERTY","TOT","RT","A","2011",0.151,
"GRC","POVERTY","TOT","RT","A","2012",0.149,
"GRC","POVERTY","TOT","RT","A","2013",0.151,
"GRC","POVERTY","TOT","RT","A","2014",0.148,
"GRC","POVERTY","TOT","RT","A","2015",0.149,
"GRC","POVERTY","TOT","RT","A","2016",0.144,
"GRC","POVERTY","TOT","RT","A","2017",0.126,
"GRC","POVERTY","TOT","RT","A","2018",0.121,
"GRC","POVERTY","TOT","RT","A","2019",0.115,
"HUN","POVERTY","TOT","RT","A","2006",0.072,
"HUN","POVERTY","TOT","RT","A","2007",0.065,
"HUN","POVERTY","TOT","RT","A","2008",0.059,
"HUN","POVERTY","TOT","RT","A","2009",0.061,
"HUN","POVERTY","TOT","RT","A","2010",0.073,
"HUN","POVERTY","TOT","RT","A","2011",0.077,
"HUN","POVERTY","TOT","RT","A","2012",0.085,
"HUN","POVERTY","TOT","RT","A","2013",0.086,
"HUN","POVERTY","TOT","RT","A","2014",0.087,
"HUN","POVERTY","TOT","RT","A","2015",0.085,
"HUN","POVERTY","TOT","RT","A","2016",0.077,
"HUN","POVERTY","TOT","RT","A","2017",0.08,
"HUN","POVERTY","TOT","RT","A","2018",0.087,
"HUN","POVERTY","TOT","RT","A","2019",0.092,
"ISL","POVERTY","TOT","RT","A","2004",0.058,
"ISL","POVERTY","TOT","RT","A","2005",0.063,
"ISL","POVERTY","TOT","RT","A","2006",0.057,
"ISL","POVERTY","TOT","RT","A","2007",0.066,
"ISL","POVERTY","TOT","RT","A","2008",0.066,
"ISL","POVERTY","TOT","RT","A","2009",0.062,
"ISL","POVERTY","TOT","RT","A","2010",0.066,
"ISL","POVERTY","TOT","RT","A","2011",0.058,
"ISL","POVERTY","TOT","RT","A","2012",0.061,
"ISL","POVERTY","TOT","RT","A","2013",0.045,
"ISL","POVERTY","TOT","RT","A","2014",0.067,
"ISL","POVERTY","TOT","RT","A","2015",0.054,
"ISL","POVERTY","TOT","RT","A","2016",0.06,
"ISL","POVERTY","TOT","RT","A","2017",0.049,
"IRL","POVERTY","TOT","RT","A","2004",0.134,
"IRL","POVERTY","TOT","RT","A","2005",0.116,
"IRL","POVERTY","TOT","RT","A","2006",0.114,
"IRL","POVERTY","TOT","RT","A","2007",0.096,
"IRL","POVERTY","TOT","RT","A","2008",0.091,
"IRL","POVERTY","TOT","RT","A","2009",0.088,
"IRL","POVERTY","TOT","RT","A","2010",0.091,
"IRL","POVERTY","TOT","RT","A","2011",0.1,
"IRL","POVERTY","TOT","RT","A","2012",0.094,
"IRL","POVERTY","TOT","RT","A","2013",0.095,
"IRL","POVERTY","TOT","RT","A","2014",0.093,
"IRL","POVERTY","TOT","RT","A","2015",0.098,
"IRL","POVERTY","TOT","RT","A","2016",0.091,
"IRL","POVERTY","TOT","RT","A","2017",0.09,
"IRL","POVERTY","TOT","RT","A","2018",0.074,
"ITA","POVERTY","TOT","RT","A","2004",0.122,
"ITA","POVERTY","TOT","RT","A","2005",0.126,
"ITA","POVERTY","TOT","RT","A","2006",0.123,
"ITA","POVERTY","TOT","RT","A","2007",0.119,
"ITA","POVERTY","TOT","RT","A","2008",0.119,
"ITA","POVERTY","TOT","RT","A","2009",0.12,
"ITA","POVERTY","TOT","RT","A","2010",0.134,
"ITA","POVERTY","TOT","RT","A","2011",0.128,
"ITA","POVERTY","TOT","RT","A","2012",0.13,
"ITA","POVERTY","TOT","RT","A","2013",0.133,
"ITA","POVERTY","TOT","RT","A","2014",0.137,
"ITA","POVERTY","TOT","RT","A","2015",0.144,
"ITA","POVERTY","TOT","RT","A","2016",0.137,
"ITA","POVERTY","TOT","RT","A","2017",0.139,
"ITA","POVERTY","TOT","RT","A","2018",0.142,
"KOR","POVERTY","TOT","RT","A","2011",0.186,
"KOR","POVERTY","TOT","RT","A","2012",0.183,
"KOR","POVERTY","TOT","RT","A","2013",0.184,
"KOR","POVERTY","TOT","RT","A","2014",0.182,
"KOR","POVERTY","TOT","RT","A","2015",0.175,
"KOR","POVERTY","TOT","RT","A","2016",0.176,
"KOR","POVERTY","TOT","RT","A","2017",0.173,
"KOR","POVERTY","TOT","RT","A","2018",0.167,
"KOR","POVERTY","TOT","RT","A","2019",0.163,
"KOR","POVERTY","TOT","RT","A","2020",0.153,
"LUX","POVERTY","TOT","RT","A","2015",0.109,
"LUX","POVERTY","TOT","RT","A","2016",0.111,
"LUX","POVERTY","TOT","RT","A","2017",0.122,
"LUX","POVERTY","TOT","RT","A","2018",0.114,
"LUX","POVERTY","TOT","RT","A","2019",0.105,
"MEX","POVERTY","TOT","RT","A","2012",0.189,
"MEX","POVERTY","TOT","RT","A","2014",0.167,
"MEX","POVERTY","TOT","RT","A","2016",0.166,
"MEX","POVERTY","TOT","RT","A","2018",0.159,
"MEX","POVERTY","TOT","RT","A","2020",0.166,
"NLD","POVERTY","TOT","RT","A","2011",0.072,
"NLD","POVERTY","TOT","RT","A","2012",0.074,
"NLD","POVERTY","TOT","RT","A","2013",0.078,
"NLD","POVERTY","TOT","RT","A","2014",0.077,
"NLD","POVERTY","TOT","RT","A","2015",0.077,
"NLD","POVERTY","TOT","RT","A","2016",0.081,
"NLD","POVERTY","TOT","RT","A","2017",0.079,
"NLD","POVERTY","TOT","RT","A","2018",0.078,
"NLD","POVERTY","TOT","RT","A","2019",0.08,
"NLD","POVERTY","TOT","RT","A","2020",0.083,"P"
"NZL","POVERTY","TOT","RT","A","2006",0.139,
"NZL","POVERTY","TOT","RT","A","2007",0.142,
"NZL","POVERTY","TOT","RT","A","2008",0.136,
"NZL","POVERTY","TOT","RT","A","2009",0.142,
"NZL","POVERTY","TOT","RT","A","2010",0.13,
"NZL","POVERTY","TOT","RT","A","2011",0.137,
"NZL","POVERTY","TOT","RT","A","2012",0.149,
"NZL","POVERTY","TOT","RT","A","2013",0.141,
"NZL","POVERTY","TOT","RT","A","2014",0.146,
"NZL","POVERTY","TOT","RT","A","2015",0.13,
"NZL","POVERTY","TOT","RT","A","2016",0.141,
"NZL","POVERTY","TOT","RT","A","2017",0.153,
"NZL","POVERTY","TOT","RT","A","2018",0.137,
"NZL","POVERTY","TOT","RT","A","2019",0.129,
"NZL","POVERTY","TOT","RT","A","2020",0.124,
"NOR","POVERTY","TOT","RT","A","2004",0.069,
"NOR","POVERTY","TOT","RT","A","2008",0.078,
"NOR","POVERTY","TOT","RT","A","2009",0.075,
"NOR","POVERTY","TOT","RT","A","2010",0.075,
"NOR","POVERTY","TOT","RT","A","2011",0.077,
"NOR","POVERTY","TOT","RT","A","2012",0.081,
"NOR","POVERTY","TOT","RT","A","2013",0.078,
"NOR","POVERTY","TOT","RT","A","2014",0.081,
"NOR","POVERTY","TOT","RT","A","2015",0.081,
"NOR","POVERTY","TOT","RT","A","2016",0.082,
"NOR","POVERTY","TOT","RT","A","2017",0.084,
"NOR","POVERTY","TOT","RT","A","2018",0.084,
"NOR","POVERTY","TOT","RT","A","2019",0.084,
"NOR","POVERTY","TOT","RT","A","2020",0.084,
"POL","POVERTY","TOT","RT","A","2005",0.124,
"POL","POVERTY","TOT","RT","A","2006",0.11,
"POL","POVERTY","TOT","RT","A","2007",0.096,
"POL","POVERTY","TOT","RT","A","2008",0.107,
"POL","POVERTY","TOT","RT","A","2009",0.108,
"POL","POVERTY","TOT","RT","A","2010",0.107,
"POL","POVERTY","TOT","RT","A","2011",0.106,
"POL","POVERTY","TOT","RT","A","2012",0.104,
